case_id,group,feedback,brain_backend,served_by,retry_count,latency_ms,knowledge_hits,adjust_error,tokens_prompt,tokens_completion,tokens_total,advice_chars,gap_count,deliverable_count,metric_count,action_count,resource_count,content_chars,direction_match,adjustment_ratio
exp4-01,uniform,过短,live,cloud_brain,0,9777,4,,788,818,1606,209,3,9,6,3,5,784,,
exp4-01,feedback_adjusted,过短,live,cloud_brain,0,17152,4,,1606,1813,3419,1217,5,12,9,5,7,2357,True,2.006
exp4-02,uniform,过短,live,cloud_brain,0,11560,4,,806,1127,1933,641,4,9,9,3,6,1293,,
exp4-02,feedback_adjusted,过短,live,cloud_brain,0,17233,4,,1935,2098,4033,1395,5,12,12,5,7,2857,True,1.21
exp4-03,uniform,过短,live,cloud_brain,0,9470,4,,794,905,1699,170,3,11,9,3,5,906,,
exp4-03,feedback_adjusted,过短,live,cloud_brain,0,12290,4,,1710,1490,3200,440,5,14,12,5,7,1763,True,0.946
exp4-04,uniform,过短,live,cloud_brain,0,10183,4,,807,1014,1821,385,4,9,9,4,7,977,,
exp4-04,feedback_adjusted,过短,live,cloud_brain,0,16874,4,,1834,2005,3839,1021,6,15,12,7,10,2451,True,1.509
exp4-05,uniform,过短,live,cloud_brain,0,10265,4,,802,988,1790,373,3,9,6,3,6,999,,
exp4-05,feedback_adjusted,过短,live,cloud_brain,0,12138,4,,1801,1612,3413,717,5,15,9,6,8,1934,True,0.936
exp4-06,uniform,过短,live,cloud_brain,0,16766,4,,797,1583,2380,586,4,11,9,4,4,1818,,
exp4-06,feedback_adjusted,过短,live,cloud_brain,0,14676,4,,2393,2119,4512,893,5,14,9,6,6,2594,True,0.427
exp4-07,uniform,过短,live,cloud_brain,0,11162,4,,776,1078,1854,402,4,9,9,4,4,1078,,
exp4-07,feedback_adjusted,过短,live,cloud_brain,0,15762,4,,1874,1946,3820,866,5,14,11,6,7,2191,True,1.032
exp4-08,uniform,过短,live,cloud_brain,0,10839,4,,794,1013,1807,350,3,9,6,3,4,1002,,
exp4-08,feedback_adjusted,过短,live,cloud_brain,0,14169,4,,1806,1713,3519,871,5,12,9,6,7,2057,True,1.053
exp4-09,uniform,过短,live,cloud_brain,0,12901,4,,788,1186,1974,350,4,9,9,4,5,1144,,
exp4-09,feedback_adjusted,过短,live,cloud_brain,0,16404,4,,1990,2093,4083,951,6,15,14,7,8,2506,True,1.191
exp4-10,uniform,过短,live,cloud_brain,0,14059,4,,795,1466,2261,520,4,11,11,5,10,1741,,
exp4-10,feedback_adjusted,过短,live,cloud_brain,0,15650,4,,2262,2046,4308,870,6,14,13,7,10,2668,True,0.532
exp4-11,uniform,过于详细,live,cloud_brain,0,12068,4,,775,1017,1792,328,3,9,9,4,4,951,,
exp4-11,feedback_adjusted,过于详细,live,cloud_brain,0,5444,4,,1811,605,2416,130,3,6,6,3,3,486,True,-0.489
exp4-12,uniform,过于详细,live,cloud_brain,0,12714,4,,782,1128,1910,466,3,9,9,3,4,1116,,
exp4-12,feedback_adjusted,过于详细,live,cloud_brain,0,5544,4,,1922,517,2439,97,3,6,6,3,3,383,True,-0.657
exp4-13,uniform,过于详细,live,cloud_brain,0,10736,4,,780,950,1730,379,3,9,6,3,3,915,,
exp4-13,feedback_adjusted,过于详细,live,cloud_brain,0,4272,4,,1745,434,2179,55,3,6,6,3,3,252,True,-0.725
exp4-14,uniform,过于详细,live,cloud_brain,0,11236,4,,780,1022,1802,244,4,9,9,4,6,952,,
exp4-14,feedback_adjusted,过于详细,live,cloud_brain,0,4374,4,,1810,517,2327,73,3,6,6,3,3,373,True,-0.608
exp4-15,uniform,过于详细,live,cloud_brain,0,9030,4,,785,912,1697,181,3,9,9,3,4,719,,
exp4-15,feedback_adjusted,过于详细,live,cloud_brain,0,4751,4,,1708,473,2181,71,3,6,6,3,3,269,True,-0.626
exp4-16,uniform,过于详细,live,cloud_brain,0,11226,4,,766,1072,1838,257,4,9,9,4,5,886,,
exp4-16,feedback_adjusted,过于详细,live,cloud_brain,0,4957,4,,1850,494,2344,62,3,6,6,3,3,295,True,-0.667
exp4-17,uniform,过于详细,live,cloud_brain,0,12086,4,,788,1158,1946,445,3,9,6,4,5,1076,,
exp4-17,feedback_adjusted,过于详细,live,cloud_brain,0,5527,4,,1959,630,2589,116,3,6,6,3,3,435,True,-0.596
exp4-18,uniform,过于详细,live,cloud_brain,0,10832,4,,826,1009,1835,350,3,9,6,3,4,934,,
exp4-18,feedback_adjusted,过于详细,live,cloud_brain,0,4689,4,,1844,497,2341,80,3,6,6,3,3,370,True,-0.604
exp4-19,uniform,过于详细,live,cloud_brain,0,10863,4,,833,983,1816,380,3,9,6,3,4,973,,
exp4-19,feedback_adjusted,过于详细,live,cloud_brain,0,5206,4,,1818,631,2449,129,3,6,6,3,3,511,True,-0.475
exp4-20,uniform,过于详细,live,cloud_brain,0,11052,4,,801,1115,1916,330,3,10,9,4,4,1091,,
exp4-20,feedback_adjusted,过于详细,live,cloud_brain,0,5483,4,,1924,678,2602,144,3,6,6,3,3,520,True,-0.523
