output_id,case_id,group,信息完整性1-5,建议相关性1-5,实用性1-5,输出适配度1-5,备注
exp4-01-uniform,exp4-01,uniform,,,,,
exp4-01-feedback_adjusted,exp4-01,feedback_adjusted,,,,,
exp4-02-uniform,exp4-02,uniform,,,,,
exp4-02-feedback_adjusted,exp4-02,feedback_adjusted,,,,,
exp4-03-uniform,exp4-03,uniform,,,,,
exp4-03-feedback_adjusted,exp4-03,feedback_adjusted,,,,,
exp4-04-uniform,exp4-04,uniform,,,,,
exp4-04-feedback_adjusted,exp4-04,feedback_adjusted,,,,,
exp4-05-uniform,exp4-05,uniform,,,,,
exp4-05-feedback_adjusted,exp4-05,feedback_adjusted,,,,,
exp4-06-uniform,exp4-06,uniform,,,,,
exp4-06-feedback_adjusted,exp4-06,feedback_adjusted,,,,,
exp4-07-uniform,exp4-07,uniform,,,,,
exp4-07-feedback_adjusted,exp4-07,feedback_adjusted,,,,,
exp4-08-uniform,exp4-08,uniform,,,,,
exp4-08-feedback_adjusted,exp4-08,feedback_adjusted,,,,,
exp4-09-uniform,exp4-09,uniform,,,,,
exp4-09-feedback_adjusted,exp4-09,feedback_adjusted,,,,,
exp4-10-uniform,exp4-10,uniform,,,,,
exp4-10-feedback_adjusted,exp4-10,feedback_adjusted,,,,,
exp4-11-uniform,exp4-11,uniform,,,,,
exp4-11-feedback_adjusted,exp4-11,feedback_adjusted,,,,,
exp4-12-uniform,exp4-12,uniform,,,,,
exp4-12-feedback_adjusted,exp4-12,feedback_adjusted,,,,,
exp4-13-uniform,exp4-13,uniform,,,,,
exp4-13-feedback_adjusted,exp4-13,feedback_adjusted,,,,,
exp4-14-uniform,exp4-14,uniform,,,,,
exp4-14-feedback_adjusted,exp4-14,feedback_adjusted,,,,,
exp4-15-uniform,exp4-15,uniform,,,,,
exp4-15-feedback_adjusted,exp4-15,feedback_adjusted,,,,,
exp4-16-uniform,exp4-16,uniform,,,,,
exp4-16-feedback_adjusted,exp4-16,feedback_adjusted,,,,,
exp4-17-uniform,exp4-17,uniform,,,,,
exp4-17-feedback_adjusted,exp4-17,feedback_adjusted,,,,,
exp4-18-uniform,exp4-18,uniform,,,,,
exp4-18-feedback_adjusted,exp4-18,feedback_adjusted,,,,,
exp4-19-uniform,exp4-19,uniform,,,,,
exp4-19-feedback_adjusted,exp4-19,feedback_adjusted,,,,,
exp4-20-uniform,exp4-20,uniform,,,,,
exp4-20-feedback_adjusted,exp4-20,feedback_adjusted,,,,,
